COD_TIPO,COD_BE,ORD_TIPO,NOMBRE50,NOMBRE105,OBSERVACIONES,CODIGOCIF,SIGLAVIA,NOMBREVIA,NUMEROVIA,RESTODOM,CODPOSTAL,POBLACION,PROVINCIA,CODPAIS,SERVTASA,TELEFONO,PENDBAJA,NUMFAX,DIRINTERNET,FCHBAJA,MOTBAJA,CODENTSUC,FECHACTUALIZA,FECHAALTA,CODAUT,CODPROV,NOMCOMERCIAL,INDICATIVONC,NOMENTMATRIZ,DIRENTMATRIZ,LOCENTMATRIZ,CPENTMATRIZ,TELENTMATRIZ,FAXENTMATRIZ,INTERNETENTMATRIZ,COD_AUTONOMIA,NOMBRE105_ENT_SUC,NOMBRE35,ANAGRAMA,CODPAISMATRIZ,DESC_VARIACION,SALVAGUARDA,EXCLUSIVIDAD,CORTE_REGISTRAL,CODIGO_LEI,COD_BE_PREVIO,AGRUPACIONGEO,BIC
BP,0211,20000,"EBN BANCO DE NEGOCIOS, S.A.","EBN BANCO DE NEGOCIOS, S.A.",,A28763043,PS,DE RECOLETOS,29,,28004,MADRID,,ES,,0917009800,,0917009895,WWW.EBNBANCO.COM,,,0000,30/07/2014,24/10/1991,,28,,N,,,,,,,,12,,"EBN BANCO DE NEGOCIOS, S.A.",EBN BANCO,ES,,,,,95980020140005388333,0000,,PROAESMMXXX
BP,0216,20000,"TARGOBANK, S.A.","TARGOBANK, S.A.",,A79223707,CL,CLAUDIO COELLO,123,,28006,MADRID,,ES,,0914365863,,0915207235,WWW.TARGOBANK.ES,,,0000,19/07/2017,19/07/1993,,28,,N,,,,,,,,12,,"TARGOBANK, S.A.","TARGOBANK, S.A.",ES,,,,,95980020140005562739,0000,,POHIESMMXXX
BP,0219,20000,BMCE BANK INTERNATIONAL S.A.,"BMCE BANK INTERNATIONAL, S.A.",,A80754781,CL,SERRANO,59,,28006,MADRID,,ES,,0915756800,,0914316310,,,,0000,08/05/2018,02/03/1994,,28,,N,,,,,,,,12,,BMCE BANK INTERNATIONAL,BMCE,ES,CAMBIO DE DENOMINACION,,,N,959800VHSP2QBPNRF210,0000,,BMCEESMMXXX
BP,0220,20000,"BANCO FINANTIA SOFINLOC, S.A.","BANCO FINANTIA SOFINLOC, S.A.",,A80762941,AV,MENENDEZ PELAYO,67,,28009,MADRID,,ES,,0915572300,,0915572301,WWW.BFS.ES.,,,0000,11/08/2017,21/01/1994,,28,,N,,,,,,,,12,,"BANCO FINANTIA SOFINLOC, S.A.",FINANTIA,ES,,,,,5493002PFG8AH59UDW18,0000,,FIOFESM1XXX
BP,0224,20000,"SANTANDER CONSUMER FINANCE, S.A.","SANTANDER CONSUMER FINANCE, S.A.",,A28122570,AV,DE CANTABRIA,S/N,CIUDAD GR. SANTANDER,28660,BOADILLA DEL MONTE,MADRID,ES,,0912574930,,0912571288,WWW.SANTANDERCONSUMERFINANCE.ES,,,0000,01/12/2014,14/07/1964,,28,,N,,,,,,,,12,,"SANTANDER CONSUMER FINANCE, S.A.",S. CONSUMER F.,ES,,,,,5493000LM0MZ4JPMGM90,0000,,SCFBESMMXXX
BP,0225,20000,"BANCO CETELEM, S.A.","BANCO CETELEM, S.A.",,A78650348,CL,RETAMA,3,PL. 3-2,28045,MADRID,,ES,,0913370700,,0915287780,WWW.BANCOCETELEM.ES,,,0000,27/10/2017,02/01/1996,,28,,N,,,,,,,,12,,"BANCO CETELEM, S.A.",BANCO CETELEM,ES,,,,,95980020140005879929,0000,,FIEIESM1XXX
BP,0229,20000,"WIZINK BANK, S.A.","WIZINK BANK, S.A.",,A81831067,CL,ULISES,16-18,,28043,MADRID,,ES,,0918367000,,0913202072,WWW.WIZINK.ES,,,0000,13/02/2017,26/07/2000,,28,,N,,,,,,,,12,,"WIZINK BANK, S.A.","WIZINK BANK, S.",ES,CAMBIO DE DOMICILIO,,,D,549300Q17EOFMB1AGS79,0000,,POPLESMMXXX
BP,0232,20000,"BANCO INVERSIS, S.A.","BANCO INVERSIS, S.A.",,A83131433,AV,DE LA HISPANIDAD,6,,28042,MADRID,,ES,,0914001400,,0914001410,WWW.INVERSIS.COM,,,0000,27/10/2014,10/12/2001,,28,,N,,,,,,,,12,,"BANCO INVERSIS, S.A.",INVERSIS,ES,,,,,95980020140005184148,0000,,INVLESMMXXX
BP,0234,20000,"BANCO CAMINOS, S.A.","BANCO CAMINOS, S.A.",,A28520666,CL,ALMAGRO,8,,28010,MADRID,,ES,,0913193448,,0913085459,WWW.BANCOCAMINOS.ES,,,0000,07/11/2014,10/03/2008,,28,,N,,,,,,,,12,,"BANCO CAMINOS, S.A.",BANCO CAMINOS,ES,,,,,95980020140005772841,0000,,CCOCESMMXXX
BP,0235,20000,"BANCO PICHINCHA ESPAÑA, S.A.","BANCO PICHINCHA ESPAÑA, S.A.",,A85882330,CL,LAGASCA,4,,28001,MADRID,,ES,,0917818958,,0915758451,WWW.BANCOPICHINCHA.ES,,,0000,26/06/2018,05/03/2010,,28,,N,,,,,,,,12,,"BANCO PICHINCHA ESPAÑA, S.A.",BANCO PICHINCHA,ES,,,,,95980020140005952097,0000,,PIESESM1XXX
BP,0237,20000,"CAJASUR BANCO, S.A.","CAJASUR BANCO, S.A.",,A95622841,AV,RONDA DE LOS TEJARES,18-24,,14001,CÓRDOBA,,ES,,0944017000,,0944878225,,,,0000,27/05/2015,06/10/2010,,14,,N,,,,,,,,01,,"CAJASUR BANCO, S.A.",CAJASUR BANCO,ES,CAMBIO DE DOMICILIO,,,D,95980020140005488243,0000,,CSURES2CXXX
BP,0239,20000,EVO BANCO S.A.,EVO BANCO S.A.,,A70386024,CL,SERRANO,45,,28001,MADRID,,ES,,0915866030,,0915866056,www.evobanco.com,,,0000,03/05/2016,16/10/2013,,28,EVO BANCO S.A.,S,,,,,,,,12,,EVO BANCO S.A.,EVO BANCO S.A.,ES,,,,,95980020140005375820,0000,,
BP,0240,20000,"BANCO DE CREDITO SOCIAL COOPERATIVO, S.A.","BANCO DE CREDITO SOCIAL COOPERATIVO, S.A.",,A86853140,PS,DE LA CASTELLANA,87,,28046,MADRID,,ES,,0914183162,,0914183163,www.bcc.es/es/,,,0000,07/11/2017,18/02/2014,,28,,N,,,,,,,,12,,"BANCO DE CREDITO SOCIAL COOP., S.A.",B.CREDITO SOC.,ES,,,,,95980020140005881190,0000,,
BP,0241,20000,"A&G BANCA PRIVADA, S.A.","A&G BANCA PRIVADA, S.A.",,A87020566,PS,DE LA CASTELLANA,92,,28046,MADRID,,ES,,0915902121,,0911441596,,,,0000,10/10/2018,09/07/2014,,28,,N,,,,,,,,12,,"A&G BANCA PRIVADA, S.A.",A&G BANCA PRIVA,ES,CAMBIO DE DOMICILIO,,,D,959800QKRKCC19MR2G52,0000,,
BP,0242,20000,"SABADELL CONSUMER FINANCE, S.A.","SABADELL CONSUMER FINANCE, S.A.",,A63574719,PZ,CATALUNYA,1,,8201,SABADELL,BARCELONA,ES,,0900363266,,0935916305,www.sabadellconsumer.com,,,0000,03/10/2017,04/07/2017,,08,,N,,,,,,,,09,,"SABADELL CONSUMER FINANCE, S.A.",SABADELL CONSUM,ES,,,,,959800EPV2YFDAY45075,0000,,
BP,1490,20000,"SELF TRADE BANK, S.A.","SELF TRADE BANK, S.A.",,A85597821,CL,GRAN VIA,30,PL. 3,28013,MADRID,MADRID,ES,,0917894000,,0917894019,WWW.SELFTRADE.ES,,,0000,11/11/2014,05/02/2009,,28,SELF TRADE BANK,S,,,,,,,,12,,"SELF TRADE BANK, S.A.",SELF TRADE BANK,ES,,,,,95980020140005419373,0000,,SELFESMMXXX
BP,1544,20000,"ANDBANK ESPAÑA, S.A.","ANDBANK ESPAÑA, S.A.",,A86701711,PS,DE LA CASTELLANA,55,PL. 3,28046,MADRID,,ES,,0912062850,,0912062879,WWW.ANDBANK.ES,,,0000,07/11/2014,12/07/2013,,28,,N,,,,,,,,12,,"ANDBANK ESPAÑA, S.A.",ANDBANK S.A.,ES,,,,,95980020140005310927,0000,,BACALULLXXX
BP,2000,20000,"CECABANK, S.A.","CECABANK, S.A.",,A86436011,CL,ALCALA,27,,28014,MADRID,,ES,,0915965000,,0915965742,WWW.cecabank.es,,,0000,17/05/2017,12/11/2012,,28,"CECABANK, S.A.",S,,,,,,,,12,,"CECABANK, S.A.","CECABANK, S.A.",ES,,,,,549300CQ9NLEHMRCU505,0000,,CECAESMMXXX
BP,2038,20000,"BANKIA, S.A.","BANKIA, S.A",,A14010342,CL,PINTOR SOROLLA,8,,46002,VALENCIA,,ES,,0902246810,,0914239454,WWW.BANKIA.COM,,,0000,23/11/2018,30/05/2011,,46,"BANKIA, S.A",S,,,,,,,,15,,"BANKIA, S.A","BANKIA, S.A",ES,,,,,549300685QG7DJS55M76,0099,,CAHMESMMXXX
BP,2048,20000,"LIBERBANK, S.A.","LIBERBANK, S.A.",,A86201993,CM,DE LA FUENTE DE LA MORA,5,,28050,MADRID,,ES,,0914225800,,0914225842,,,,0000,27/02/2017,06/09/2011,,28,LIBERBANK,S,,,,,,,,12,,"LIBERBANK, S.A.",LIBERBANK,ES,,,,,635400XT3V7WHLSFYY25,0485,,CECAESMM048
BP,2080,20000,"ABANCA CORPORACION BANCARIA, S.A.","ABANCA CORPORACION BANCARIA, S.A.",,A70302039,CL,CANTON CLAUDINO PITA,2,,15300,BETANZOS,A CORUÑA,ES,,0981187000,,0981223562,,,,0000,30/04/2018,16/09/2011,,15,ABANCA CORPORACION BANCAR,S,,,,,,,,11,,"ABANCA CORPORACION BANCARIA, S.A.",ABANCA CORPORAC,ES,,,,,54930056IRBXK0Q1FP96,0000,,CAGLESMMXXX
BP,2085,20000,"IBERCAJA BANCO, S.A.","IBERCAJA BANCO, S.A.",,A99319030,PZ,BASILIO PARAISO,2,,50008,ZARAGOZA,,ES,,0976767676,,0976216637,WWW.IBERCAJA.COM,,,0000,23/11/2016,30/09/2011,,50,,N,,,,,,,,02,,"IBERCAJA BANCO, S.A.",IBERCAJA BANCO,ES,,,,,549300OLBL49CW8CT155,0000,,CAZRES2ZXXX
BP,2095,20000,"KUTXABANK, S.A","KUTXABANK, S.A",,A95653077,CL,GRAN VIA,30-32,,48009,BILBAO,BIZKAIA,ES,,0944017526,,0944017326,,,,0000,31/05/2018,02/01/2012,,48,"KUTXABANK, S.A",S,,,,,,,,16,,"KUTXABANK, S.A","KUTXABANK, S.A",ES,,,,,549300U4LIZV0REEQQ46,0483,,BASKES2BXXX
BP,2100,20000,"CAIXABANK, S.A.","CAIXABANK, S.A.",,A08663619,CL,PINTOR SOROLLA,2-4,,46002,VALENCIA,,ES,,0934046000,,0934046723,WWW.CAIXABANK.ES,,,0000,24/08/2018,30/06/2011,,46,"CAIXABANK, S.A.",S,,,,,,,,15,,"CAIXABANK, S.A.","CAIXABANK, S.A.",ES,,,,,7CUNS533WID6K7DGFI87,0000,,CAIXESBBXXX
